id,country,name,capital,latitude,longitude
121,Kosovo,Pristina,1,42.66666667,21.166667
122,Kuwait,Kuwait City,1,29.36666667,47.966667
123,Kyrgyzstan,Bishkek,1,42.86666667,74.6
124,Laos,Vientiane,1,17.96666667,102.6
125,Latvia,Riga,1,56.95,24.1
126,Lebanon,Beirut,1,33.86666667,35.5
127,Lesotho,Maseru,1,-29.31666667,27.483333
128,Liberia,Monrovia,1,6.3,-10.8
129,Libya,Tripoli,1,32.88333333,13.166667
130,Liechtenstein,Vaduz,1,47.13333333,9.516667
131,Lithuania,Vilnius,1,54.68333333,25.316667
132,Luxembourg,Luxembourg,1,49.6,6.116667
133,Macedonia,Skopje,1,42,21.433333
134,Madagascar,Antananarivo,1,-18.91666667,47.516667
135,Malawi,Lilongwe,1,-13.96666667,33.783333
136,Malaysia,Kuala Lumpur,1,3.166666667,101.7
137,Maldives,Male,1,4.166666667,73.5
138,Mali,Bamako,1,12.65,-8
139,Malta,Valletta,1,35.88333333,14.5
140,Marshall Islands,Majuro,1,7.1,171.383333
141,Mauritania,Nouakchott,1,18.06666667,-15.966667
142,Mauritius,Port Louis,1,-20.15,57.483333
143,Mexico,Mexico City,1,19.43333333,-99.133333
144,Federated States of Micronesia,Palikir,1,6.916666667,158.15
145,Moldova,Chisinau,1,47,28.85
146,Monaco,Monaco,1,43.73333333,7.416667
147,Mongolia,Ulaanbaatar,1,47.91666667,106.916667
148,Montenegro,Podgorica,1,42.43333333,19.266667
149,Montserrat,Plymouth,1,16.7,-62.216667
150,Morocco,Rabat,1,34.01666667,-6.816667
151,Mozambique,Maputo,1,-25.95,32.583333
152,Namibia,Windhoek,1,-22.56666667,17.083333
153,Nepal,Kathmandu,1,27.71666667,85.316667
154,Netherlands,Amsterdam,1,52.35,4.916667
155,New Caledonia,Noumea,1,-22.26666667,166.45
156,New Zealand,Wellington,1,-41.3,174.783333
157,Nicaragua,Managua,1,12.13333333,-86.25
158,Niger,Niamey,1,13.51666667,2.116667
159,Nigeria,Abuja,1,9.083333333,7.533333
160,Niue,Alofi,1,-19.01666667,-169.916667
161,Norfolk Island,Kingston,1,-29.05,167.966667
162,Northern Mariana Islands,Saipan,1,15.2,145.75
163,Norway,Oslo,1,59.91666667,10.75
164,Oman,Muscat,1,23.61666667,58.583333
165,Pakistan,Islamabad,1,33.68333333,73.05
166,Palau,Melekeok,1,7.483333333,134.633333
167,Panama,Panama City,1,8.966666667,-79.533333
168,Papua New Guinea,Port Moresby,1,-9.45,147.183333
169,Paraguay,Asuncion,1,-25.26666667,-57.666667
